Genotype,Hypertension,Hypotension,No_label
NEP+,0,954,46
NEP+,0,956,44
NEP+,0,956,44
NEP+,0,956,44
NEP+,0,955,45
NEP+,0,955,45
NEP+,0,956,44
NEP+,0,955,45
NEP+,0,955,45
NEP+,0,956,44
NEP+,0,955,45
NEP+,0,956,44
NEP+,0,955,45
NEP+,0,956,44
NEP+,0,957,43
NEP+,0,956,44
NEP+,0,955,45
ANP-,580,294,105
ANP-,578,296,105
ANP-,579,295,105
ANP-,579,295,105
ANP-,579,295,105
ANP-,580,294,105
ANP-,580,294,105
ANP-,581,293,105
ANP-,580,294,105
ANP-,579,295,105
ANP-,579,295,105
ANP-,578,296,105
ANP-,577,297,105
ANP-,580,294,105
ANP-,579,295,105
ANP-,580,295,104
ANP-,580,294,105
ANP-,580,295,104
ANP-,579,295,105
ANP-,579,295,105
ANP-,578,296,105
ANP-,580,294,105
ANP-,579,295,105
ANP-,581,293,105
ANP-,579,295,105
ANP-,578,296,105
ANP-,579,295,105
ANP-,579,295,105
ANP-,578,296,105
ANP-,579,295,105
ANP-,579,295,105
ANP-,578,296,105
ANP-,579,295,105
ANP-,580,294,105
ANP-,579,295,105
ANP-,580,294,105
ANP-,580,294,105
ANP-,579,295,105
ANP-,579,295,105
ANP-,580,294,105
ANP-,579,295,105
ANP-,578,296,105
ANP-,579,295,105
ANP-,578,296,105
ANP-,579,295,105
ANP-,578,296,105
ANP-,579,295,105
ANP-,579,295,105
ANP-,579,295,105
ANP-,580,294,105
