Genotype,Hipertension,Hipotension,No_label
UP_IL10,14,345,620
UP_IL10,14,346,619
UP_IL10,14,349,616
UP_NEP,0,956,44
UP_NEP,0,956,44
UP_NEP,0,955,45
UP_NEP,0,956,44
UP_NEP,0,957,43
UP_NEP,0,953,47
UP_NEP,0,954,46
UP_NEP,0,953,47
UP_NEP,0,954,46
UP_NEP,0,954,46
UP_NEP,0,954,46
UP_NEP,0,956,44
UP_NEP,0,955,45
UP_NEP,0,956,44
UP_NEP,0,954,46
UP_NEP,0,955,45
UP_NEP,0,955,45
UP_NEP,0,956,44
UP_NEP,0,955,45
UP_NEP,0,956,44
UP_NEP,0,955,45
UP_NEP,0,956,44
UP_NEP,0,956,44
UP_NEP,0,956,44
UP_NEP,0,957,43
UP_NEP,0,957,43
UP_NEP,0,956,44
UP_NEP,0,955,45
UP_NEP,0,955,45
UP_NEP,0,956,44
UP_NEP,0,955,45
UP_NEP,0,957,43
UP_NEP,0,957,43
UP_NEP,0,954,46
UP_NEP,0,956,44
UP_NEP,0,956,44
UP_NEP,0,956,44
UP_NEP,0,955,45
UP_NEP,0,955,45
UP_NEP,0,956,44
UP_NEP,0,955,45
UP_NEP,0,955,45
UP_NEP,0,956,44
UP_NEP,0,955,45
UP_NEP,0,956,44
UP_NEP,0,955,45
UP_NEP,0,956,44
UP_NEP,0,957,43
UP_NEP,0,956,44
UP_NEP,0,955,45
DW_ANP,194,680,105
DW_ANP,196,678,105
DW_ANP,195,679,105
DW_ANP,195,679,105
DW_ANP,195,679,105
DW_ANP,194,680,105
DW_ANP,194,680,105
DW_ANP,193,681,105
DW_ANP,194,680,105
DW_ANP,195,679,105
DW_ANP,195,679,105
DW_ANP,196,678,105
DW_ANP,197,677,105
DW_ANP,194,680,105
DW_ANP,195,679,105
DW_ANP,195,680,104
DW_ANP,194,680,105
DW_ANP,195,680,104
DW_ANP,195,679,105
DW_ANP,195,679,105
DW_ANP,196,678,105
DW_ANP,194,680,105
DW_ANP,195,679,105
DW_ANP,193,681,105
DW_ANP,195,679,105
DW_ANP,196,678,105
DW_ANP,195,679,105
DW_ANP,195,679,105
DW_ANP,196,678,105
DW_ANP,195,679,105
DW_ANP,195,679,105
DW_ANP,196,678,105
DW_ANP,195,679,105
DW_ANP,194,680,105
DW_ANP,195,679,105
DW_ANP,194,680,105
DW_ANP,194,680,105
DW_ANP,195,679,105
DW_ANP,195,679,105
DW_ANP,194,680,105
DW_ANP,195,679,105
DW_ANP,196,678,105
DW_ANP,195,679,105
DW_ANP,196,678,105
DW_ANP,195,679,105
DW_ANP,196,678,105
DW_ANP,195,679,105
DW_ANP,195,679,105
DW_ANP,195,679,105
DW_ANP,194,680,105
